time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading; mode_x; mode_y; mode_heading 
0.016; 0; 0; 0; nan; nan; nan; 0.000175542; 0.00779269; 9.7858; 0.0072; -0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.032; 0; 0; 0; nan; nan; nan; 0.000154354; 0.00781519; 9.81405; 0.0036; -0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.048; 0; 0; 0; nan; nan; nan; 0.000136749; 0.00781518; 9.81403; 0; -0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.064; 0; 0; 0; nan; nan; nan; 0.000122479; 0.00781454; 9.81322; 0.0072; 0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.08; 0; 0; 0; nan; nan; nan; 0.000111118; 0.00781402; 9.81258; 0.0036; 0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.096; 0; 0; 0; nan; nan; nan; 0.000102032; 0.00781361; 9.81206; 0.0108; 0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.112; 0; 0; 0; nan; nan; nan; 9.47632e-05; 0.00781328; 9.81165; 0.0108; -0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.128; 0; 0; 0; nan; nan; nan; 8.89489e-05; 0.00781302; 9.81132; 0; 0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.144; 0; 0; 0; nan; nan; nan; 8.42979e-05; 0.00781281; 9.81105; 0; 0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.16; 0; 0; 0; nan; nan; nan; 8.05773e-05; 0.00781264; 9.81084; 0; -0.0108; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.176; 0; 0; 0; nan; nan; nan; 7.76011e-05; 0.0078125; 9.81067; 0.0072; 0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.192; 0; 0; 0; nan; nan; nan; 7.52202e-05; 0.0078124; 9.81054; -0.0036; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.208; 0; 0; 0; nan; nan; nan; 7.33155e-05; 0.00781231; 9.81043; 0; -0.0108; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.224; 0; 0; 0; nan; nan; nan; 7.17919e-05; 0.00781224; 9.81034; 0; -0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.24; 0; 0; 0; nan; nan; nan; 7.0573e-05; 0.00781219; 9.81027; -0.0072; -0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.256; 0; 0; 0; nan; nan; nan; 6.95979e-05; 0.00781214; 9.81022; 0.0108; 0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.272; 0; 0; 0; nan; nan; nan; 6.88179e-05; 0.00781211; 9.81017; 0.0036; 0.018; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.288; 0; 0; 0; nan; nan; nan; 6.81939e-05; 0.00781208; 9.81014; 0; -0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.304; 0; 0; 0; nan; nan; nan; 6.76947e-05; 0.00781206; 9.81011; -0.0072; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.32; 0; 0; 0; nan; nan; nan; 6.72954e-05; 0.00781204; 9.81009; -0.0036; 0.0216; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.336; 0; 0; 0; nan; nan; nan; 6.69759e-05; 0.00781202; 9.81007; -0.0144; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.352; 0; 0; 0; nan; nan; nan; 6.67203e-05; 0.00781201; 9.81005; 0.0036; -0.0252; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.368; 0; 0; 0; nan; nan; nan; 6.65159e-05; 0.007812; 9.81004; 0.0072; -0.0216; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.384; 0; 0; 0; nan; nan; nan; 6.63523e-05; 0.00781199; 9.81003; -0.018; 0.0108; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.4; 0; 0; 0; nan; nan; nan; 6.62215e-05; 0.00781199; 9.81003; 0.018; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.416; 0; 0; 0; nan; nan; nan; 6.61168e-05; 0.00781198; 9.81002; 0; 0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.432; 0; 0; 0; nan; nan; nan; 6.60331e-05; 0.00781198; 9.81002; 0; -0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.448; 0; 0; 0; nan; nan; nan; 6.59661e-05; 0.00781198; 9.81001; -0.0036; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.464; 0; 0; 0; nan; nan; nan; 6.59125e-05; 0.00781197; 9.81001; 0; 0.0108; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.48; 0; 0; 0; nan; nan; nan; 6.58696e-05; 0.00781197; 9.81001; 0; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
