time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading; mode_x; mode_y; mode_heading 
0.144; 0; 0; 0; nan; nan; nan; 0.00122579; 0.00740048; 9.79641; 28.4976; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.16; 0; 0; 0; nan; nan; nan; 0.00097381; 0.00750973; 9.79913; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.176; 0; 0; 0; nan; nan; nan; 0.000772126; 0.00762266; 9.8013; 28.4904; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.192; 0; 0; 0; nan; nan; nan; 0.000610716; 0.0077377; 9.80304; 28.512; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.208; 0; 0; 0; nan; nan; nan; 0.000481548; 0.00785324; 9.80443; 28.4976; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.224; 0; 0; 0; nan; nan; nan; 0.000378188; 0.00796763; 9.80555; 28.5084; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.24; 0; 0; 0; nan; nan; nan; 0.000295484; 0.00807922; 9.80644; 28.4904; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.256; 0; 0; 0; nan; nan; nan; 0.000229311; 0.00818641; 9.80715; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.272; 0; 0; 0; nan; nan; nan; 0.000176366; 0.00828764; 9.80772; 28.4832; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.288; 0; 0; 0; nan; nan; nan; 0.000134007; 0.00838144; 9.80818; 28.5084; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.304; 0; 0; 0; nan; nan; nan; 0.000100117; 0.00846645; 9.80854; 28.5012; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.32; 0; 0; 0; nan; nan; nan; 7.3003e-05; 0.00854143; 9.80883; 28.5012; 33.0624; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.336; 0; 0; 0; nan; nan; nan; 5.13112e-05; 0.00860527; 9.80906; 28.4796; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.352; 0; 0; 0; nan; nan; nan; 3.39572e-05; 0.00865706; 9.80925; 28.494; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.368; 0; 0; 0; nan; nan; nan; 2.00737e-05; 0.00869602; 9.8094; 28.5012; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.384; 0; 0; 0; nan; nan; nan; 8.96673e-06; 0.00872161; 9.80952; 28.4904; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.4; 0; 0; 0; nan; nan; nan; 8.102e-08; 0.00873344; 9.80961; 28.5084; 33.0732; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.416; 0; 0; 0; nan; nan; nan; -7.02762e-06; 0.00873134; 9.80969; 28.494; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.432; 0; 0; 0; nan; nan; nan; -1.27146e-05; 0.00871536; 9.80975; 28.4904; 33.0768; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.448; 0; 0; 0; nan; nan; nan; -1.72642e-05; 0.00868573; 9.8098; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.464; 0; 0; 0; nan; nan; nan; -2.09039e-05; 0.00864289; 9.80984; 28.494; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.48; 0; 0; 0; nan; nan; nan; -2.38158e-05; 0.00858749; 9.80987; 28.4976; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.496; 0; 0; 0; nan; nan; nan; -2.61453e-05; 0.00852035; 9.8099; 28.512; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.512; 0; 0; 0; nan; nan; nan; -2.80089e-05; 0.00844246; 9.80992; 28.5048; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.528; 0; 0; 0; nan; nan; nan; -2.94999e-05; 0.00835498; 9.80993; 28.5048; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.544; 0; 0; 0; nan; nan; nan; -3.06928e-05; 0.0082592; 9.80995; 28.5012; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.56; 0; 0; 0; nan; nan; nan; -3.16471e-05; 0.00815655; 9.80996; 28.5228; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.576; 0; 0; 0; nan; nan; nan; -3.24106e-05; 0.00804854; 9.80996; 28.5048; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.592; 0; 0; 0; nan; nan; nan; -3.30215e-05; 0.00793678; 9.80997; 28.4832; 33.0408; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.608; 0; 0; 0; nan; nan; nan; -3.35102e-05; 0.00782292; 9.80998; 28.512; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.624; 0; 0; 0; nan; nan; nan; -3.39013e-05; 0.00770864; 9.80998; 28.5012; 33.0732; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.64; 0; 0; 0; nan; nan; nan; -3.42142e-05; 0.00759564; 9.80998; 28.5084; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.656; 0; 0; 0; nan; nan; nan; -3.44646e-05; 0.00748559; 9.8
